FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9298140803337208
0.0,0.08333333333333333,0.9073464145448722
0.00980392156862745,0.08333333333333333,0.8726155704168123
0.00980392156862745,0.125,0.8719699850970266
0.0392156862745098,0.125,0.8577957473439237
0.0392156862745098,0.25,0.810824502894304
0.058823529411764705,0.25,0.810179895023263
0.058823529411764705,0.2916666666666667,0.7823488640782706
0.13725490196078433,0.2916666666666667,0.7451861971121005
0.13725490196078433,0.375,0.7048213108331722
0.14705882352941177,0.375,0.7036134611735497
0.14705882352941177,0.4166666666666667,0.6986767867197022
0.18627450980392157,0.4166666666666667,0.6535241182249724
0.18627450980392157,0.4583333333333333,0.6524410049205439
0.19607843137254902,0.4583333333333333,0.6501892765654631
0.19607843137254902,0.5416666666666666,0.6460419758465171
0.3235294117647059,0.5416666666666666,0.4185896085327044
0.3235294117647059,0.5833333333333334,0.3905965489409824
0.3627450980392157,0.5833333333333334,0.34346027268952606
0.3627450980392157,0.625,0.3320980695519223
0.38235294117647056,0.625,0.305015337209015
0.38235294117647056,0.6666666666666666,0.29679488755927996
0.39215686274509803,0.6666666666666666,0.2722837015562171
0.39215686274509803,0.7083333333333334,0.2621001055567045
0.4215686274509804,0.7083333333333334,0.249575707393622
0.4215686274509804,0.75,0.2483234992616326
0.45098039215686275,0.75,0.23608111281140493
0.45098039215686275,0.7916666666666666,0.2339098213452827
0.5588235294117647,0.7916666666666666,0.17461966393610845
0.5588235294117647,0.8333333333333334,0.17405156508265818
0.5980392156862745,0.8333333333333334,0.16976228620660921
0.5980392156862745,0.875,0.16483078277690466
0.7156862745098039,0.875,0.14530655116255203
0.7156862745098039,0.9166666666666666,0.14408950549660296
0.7352941176470589,0.9166666666666666,0.14225342322493115
0.7352941176470589,0.9583333333333334,0.14081166910466317
0.7745098039215687,0.9583333333333334,0.13216209469832185
0.7745098039215687,1.0,0.1317306777957223
1.0,1.0,0.06612791586832889
