FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.99683976
0.00980392156862745,0.041666666666666664,0.9958384
0.00980392156862745,0.16666666666666666,0.9798661
0.049019607843137254,0.16666666666666666,0.9457914
0.049019607843137254,0.20833333333333334,0.93012774
0.06862745098039216,0.20833333333333334,0.9254899
0.06862745098039216,0.25,0.91060054
0.09803921568627451,0.25,0.87176937
0.09803921568627451,0.2916666666666667,0.8691079
0.10784313725490197,0.2916666666666667,0.86834395
0.10784313725490197,0.3333333333333333,0.8683217
0.13725490196078433,0.3333333333333333,0.8029263
0.13725490196078433,0.375,0.7967722
0.14705882352941177,0.375,0.7950984
0.14705882352941177,0.4166666666666667,0.7750828
0.17647058823529413,0.4166666666666667,0.7416144
0.17647058823529413,0.4583333333333333,0.72191477
0.18627450980392157,0.4583333333333333,0.718195
0.18627450980392157,0.5,0.71285903
0.19607843137254902,0.5,0.6554669
0.19607843137254902,0.5416666666666666,0.6454258
0.3137254901960784,0.5416666666666666,0.3206826
0.3137254901960784,0.5833333333333334,0.29351872
0.3627450980392157,0.5833333333333334,0.20576699
0.3627450980392157,0.7083333333333334,0.13903087
0.4019607843137255,0.7083333333333334,0.11045068
0.4019607843137255,0.75,0.10566371
0.47058823529411764,0.75,0.073129
0.47058823529411764,0.8333333333333334,0.06466782
0.49019607843137253,0.8333333333333334,0.059236616
0.49019607843137253,0.875,0.057706326
0.5980392156862745,0.875,0.03991432
0.5980392156862745,0.9166666666666666,0.039271884
0.7254901960784313,0.9166666666666666,0.021111706
0.7254901960784313,0.9583333333333334,0.021108322
0.8823529411764706,0.9583333333333334,0.013967539
0.8823529411764706,1.0,0.011913866
1.0,1.0,0.0035549053
