FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.995156968975425
0.029411764705882353,0.041666666666666664,0.7369240340847609
0.029411764705882353,0.08333333333333333,0.7276477839563437
0.049019607843137254,0.08333333333333333,0.6721489874359551
0.049019607843137254,0.125,0.6590693659931982
0.0784313725490196,0.125,0.5641076687178107
0.0784313725490196,0.16666666666666666,0.5108151179232865
0.1568627450980392,0.16666666666666666,0.21785862544372286
0.1568627450980392,0.20833333333333334,0.20845863585665458
0.17647058823529413,0.20833333333333334,0.1883545234248552
0.17647058823529413,0.25,0.1695549320323793
0.19607843137254902,0.25,0.14664193714549567
0.19607843137254902,0.3333333333333333,0.1291325277955768
0.23529411764705882,0.3333333333333333,0.06665434231779775
0.23529411764705882,0.375,0.05656585914072992
0.27450980392156865,0.375,0.04612217643309993
0.27450980392156865,0.4166666666666667,0.045886561906558494
0.3235294117647059,0.4166666666666667,0.024029418541778386
0.3235294117647059,0.4583333333333333,0.023841494292509837
0.3333333333333333,0.4583333333333333,0.019141887362101293
0.3333333333333333,0.5,0.017219441169233962
0.3627450980392157,0.5,0.012877517101384127
0.3627450980392157,0.5416666666666666,0.012845716152652642
0.37254901960784315,0.5416666666666666,0.01192820826047796
0.37254901960784315,0.5833333333333334,0.011800935727978704
0.38235294117647056,0.5833333333333334,0.01031407998379151
0.38235294117647056,0.625,0.008292582962887901
0.4215686274509804,0.625,0.007088588813578254
0.4215686274509804,0.7083333333333334,0.0065689291115357835
0.49019607843137253,0.7083333333333334,0.004000965524041631
0.49019607843137253,0.75,0.0036851808661270964
0.5196078431372549,0.75,0.0033852160442908058
0.5196078431372549,0.7916666666666666,0.0031226535429284617
0.6274509803921569,0.7916666666666666,0.001248543481244632
0.6274509803921569,0.875,0.0010872411770518858
0.7058823529411765,0.875,0.00044200913977480755
0.7058823529411765,0.9166666666666666,0.00043432936754578895
0.8529411764705882,0.9166666666666666,0.00014033733426192986
0.8529411764705882,0.9583333333333334,0.00013094789760078755
0.9313725490196079,0.9583333333333334,4.0496956179072586e-05
0.9313725490196079,1.0,3.667685248135001e-05
1.0,1.0,7.35731710367517e-06
