FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9266229229035122
0.0,0.125,0.8730689078869652
0.029411764705882353,0.125,0.8116537792273089
0.029411764705882353,0.16666666666666666,0.8075527968763261
0.0392156862745098,0.16666666666666666,0.7959814454863142
0.0392156862745098,0.25,0.7837314493771576
0.058823529411764705,0.25,0.766925190875434
0.058823529411764705,0.3333333333333333,0.7511010145716326
0.10784313725490197,0.3333333333333333,0.6977315587951566
0.10784313725490197,0.375,0.6739419359879887
0.14705882352941177,0.375,0.6616786505065063
0.14705882352941177,0.4583333333333333,0.6387693367167603
0.17647058823529413,0.4583333333333333,0.6255297871619888
0.17647058823529413,0.5,0.6241274689231322
0.20588235294117646,0.5,0.5975817793317794
0.20588235294117646,0.5416666666666666,0.5751929591249755
0.3627450980392157,0.5416666666666666,0.2751997822138104
0.3627450980392157,0.6666666666666666,0.2535800250962773
0.38235294117647056,0.6666666666666666,0.218475067347223
0.38235294117647056,0.7083333333333334,0.2109174300405134
0.4215686274509804,0.7083333333333334,0.18176410659197736
0.4215686274509804,0.75,0.17828880419097815
0.4411764705882353,0.75,0.15854256776140224
0.4411764705882353,0.8333333333333334,0.1549438544077816
0.5686274509803921,0.8333333333333334,0.11083743311722855
0.5686274509803921,0.875,0.10959306032132116
0.7058823529411765,0.875,0.06997300535962453
0.7058823529411765,0.9166666666666666,0.06911335648251937
0.7450980392156863,0.9166666666666666,0.05821687948702167
0.7450980392156863,0.9583333333333334,0.057767130387806634
0.7843137254901961,0.9583333333333334,0.05067271211901362
0.7843137254901961,1.0,0.047965162923653895
1.0,1.0,0.012791170427358526
