FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9883630131349804
0.0,0.16666666666666666,0.9774059438155612
0.0392156862745098,0.16666666666666666,0.9173478154286593
0.0392156862745098,0.20833333333333334,0.9035504957663067
0.058823529411764705,0.20833333333333334,0.879616113274296
0.058823529411764705,0.2916666666666667,0.8775676065542691
0.0784313725490196,0.2916666666666667,0.8713731207363307
0.0784313725490196,0.3333333333333333,0.8566379104807237
0.11764705882352941,0.3333333333333333,0.8302166956491166
0.11764705882352941,0.4166666666666667,0.8171394020572307
0.16666666666666666,0.4166666666666667,0.7794229169577181
0.16666666666666666,0.4583333333333333,0.7753093788818223
0.17647058823529413,0.4583333333333333,0.7646448479556809
0.17647058823529413,0.5,0.7599562562480271
0.18627450980392157,0.5,0.7545339539288656
0.18627450980392157,0.5416666666666666,0.7282517124247182
0.3431372549019608,0.5416666666666666,0.2910736865982209
0.3431372549019608,0.5833333333333334,0.2693596215510567
0.35294117647058826,0.5833333333333334,0.22626562812066564
0.35294117647058826,0.625,0.21073556835035104
0.3627450980392157,0.625,0.20843370510981007
0.3627450980392157,0.6666666666666666,0.19447525741432886
0.38235294117647056,0.6666666666666666,0.17526079967159156
0.38235294117647056,0.7083333333333334,0.16393399299940878
0.4215686274509804,0.7083333333333334,0.13609930334130943
0.4215686274509804,0.75,0.12455035680514012
0.4411764705882353,0.75,0.11721721004363812
0.4411764705882353,0.7916666666666666,0.11423909791895044
0.4803921568627451,0.7916666666666666,0.0892670594400609
0.4803921568627451,0.8333333333333334,0.08525996514010409
0.49019607843137253,0.8333333333333334,0.08167248318880653
0.49019607843137253,0.875,0.07771863284837847
0.5098039215686274,0.875,0.07456688742598831
0.5098039215686274,0.9166666666666666,0.07266331093892887
0.7647058823529411,0.9166666666666666,0.03558697510004457
0.7647058823529411,0.9583333333333334,0.03553618708348238
0.8235294117647058,0.9583333333333334,0.025504717272701777
0.8235294117647058,1.0,0.025357016467413212
1.0,1.0,0.009126943607001283
