FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9474166666666666
0.0,0.20833333333333334,0.867452380952381
0.0392156862745098,0.20833333333333334,0.8260892857142856
0.0392156862745098,0.25,0.820678571428571
0.049019607843137254,0.25,0.8201785714285714
0.049019607843137254,0.2916666666666667,0.8097460317460318
0.06862745098039216,0.2916666666666667,0.8027687728937728
0.06862745098039216,0.375,0.7653710317460316
0.14705882352941177,0.375,0.6832003968253969
0.14705882352941177,0.4166666666666667,0.6822857142857143
0.20588235294117646,0.4166666666666667,0.6410555555555555
0.20588235294117646,0.5416666666666666,0.6235892857142858
0.3333333333333333,0.5416666666666666,0.3001488095238095
0.3333333333333333,0.625,0.25109523809523815
0.3627450980392157,0.625,0.22855952380952385
0.3627450980392157,0.6666666666666666,0.21398412698412694
0.37254901960784315,0.6666666666666666,0.188
0.37254901960784315,0.7083333333333334,0.17649404761904766
0.38235294117647056,0.7083333333333334,0.17105357142857142
0.38235294117647056,0.75,0.15314880952380952
0.4215686274509804,0.75,0.14545833333333336
0.4215686274509804,0.8333333333333334,0.14164285714285715
0.5980392156862745,0.8333333333333334,0.07647222222222222
0.5980392156862745,0.875,0.07409523809523809
0.6274509803921569,0.875,0.06725
0.6274509803921569,0.9166666666666666,0.0642857142857143
0.696078431372549,0.9166666666666666,0.04737500000000001
0.696078431372549,0.9583333333333334,0.04491666666666666
0.7156862745098039,0.9583333333333334,0.043964285714285706
0.7156862745098039,1.0,0.04377182539682539
1.0,1.0,0.0
