FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.999969913164349
0.0,0.08333333333333333,0.9999597659431952
0.0196078431372549,0.08333333333333333,0.9999439201968715
0.0196078431372549,0.16666666666666666,0.99993223960383
0.049019607843137254,0.16666666666666666,0.9991595681290489
0.049019607843137254,0.20833333333333334,0.999062117059655
0.058823529411764705,0.20833333333333334,0.998990908185241
0.058823529411764705,0.2916666666666667,0.9969429424108625
0.0784313725490196,0.2916666666666667,0.9943815620507481
0.0784313725490196,0.3333333333333333,0.9924256095883104
0.09803921568627451,0.3333333333333333,0.9903050394787226
0.09803921568627451,0.375,0.9876243378265297
0.11764705882352941,0.375,0.9836734297979355
0.11764705882352941,0.4166666666666667,0.9818421583173583
0.14705882352941177,0.4166666666666667,0.9712863413089269
0.14705882352941177,0.4583333333333333,0.9706134971738314
0.19607843137254902,0.4583333333333333,0.9004773497692417
0.19607843137254902,0.5,0.8736657805307995
0.23529411764705882,0.5,0.554716189171426
0.23529411764705882,0.5416666666666666,0.4969889447277393
0.30392156862745096,0.5416666666666666,0.08203745036871539
0.30392156862745096,0.5833333333333334,0.03583050779913583
0.3431372549019608,0.5833333333333334,0.01827816124157213
0.3431372549019608,0.6666666666666666,0.013231507658951222
0.37254901960784315,0.6666666666666666,0.008775766396423666
0.37254901960784315,0.7083333333333334,0.007270883399237555
0.4803921568627451,0.7083333333333334,0.0019295597105322177
0.4803921568627451,0.8333333333333334,0.0014110060962365166
0.5784313725490197,0.8333333333333334,0.0008140091696582814
0.5784313725490197,0.9166666666666666,0.0007415071597058258
0.6862745098039216,0.9166666666666666,0.0002584043573500433
0.6862745098039216,0.9583333333333334,0.0002506889531094302
0.7352941176470589,0.9583333333333334,0.00022563507127169326
0.7352941176470589,1.0,0.00021837649052662293
1.0,1.0,1.1381983497270057e-05
