FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.8552077
0.049019607843137254,0.041666666666666664,0.38507274
0.049019607843137254,0.08333333333333333,0.3581243
0.09803921568627451,0.08333333333333333,0.27106193
0.09803921568627451,0.125,0.2559688
0.13725490196078433,0.125,0.24698667
0.13725490196078433,0.20833333333333334,0.20939778
0.16666666666666666,0.20833333333333334,0.15363412
0.16666666666666666,0.25,0.14645122
0.19607843137254902,0.25,0.1319478
0.19607843137254902,0.4166666666666667,0.11802448
0.24509803921568626,0.4166666666666667,0.09037652
0.24509803921568626,0.4583333333333333,0.08962362
0.29411764705882354,0.4583333333333333,0.072221436
0.29411764705882354,0.5,0.070356496
0.30392156862745096,0.5,0.066580445
0.30392156862745096,0.5416666666666666,0.06470163
0.3137254901960784,0.5416666666666666,0.06453637
0.3137254901960784,0.6666666666666666,0.052455105
0.4215686274509804,0.6666666666666666,0.032126576
0.4215686274509804,0.7083333333333334,0.03088134
0.4411764705882353,0.7083333333333334,0.029466694
0.4411764705882353,0.75,0.029424613
0.6764705882352942,0.75,0.013226585
0.6764705882352942,0.8333333333333334,0.010767611
0.7450980392156863,0.8333333333333334,0.008213542
0.7450980392156863,0.875,0.007707392
0.7647058823529411,0.875,0.0072362088
0.7647058823529411,0.9166666666666666,0.007187824
0.803921568627451,0.9166666666666666,0.0049244147
0.803921568627451,1.0,0.004787414
1.0,1.0,0.00090992043
