FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9727915179406768
0.0,0.16666666666666666,0.9616020419318964
0.00980392156862745,0.16666666666666666,0.9226619314970277
0.00980392156862745,0.25,0.9165970777917364
0.049019607843137254,0.25,0.8841045760172557
0.049019607843137254,0.2916666666666667,0.8790979628908054
0.058823529411764705,0.2916666666666667,0.8784238637529109
0.058823529411764705,0.375,0.8571973641993944
0.14705882352941177,0.375,0.8183678887745072
0.14705882352941177,0.4583333333333333,0.7595079219131424
0.19607843137254902,0.4583333333333333,0.7186846835365728
0.19607843137254902,0.5,0.7152798987509148
0.22549019607843138,0.5,0.6521345274557263
0.22549019607843138,0.5416666666666666,0.6488485597094833
0.3333333333333333,0.5416666666666666,0.32320687909339574
0.3333333333333333,0.625,0.2486425089603335
0.35294117647058826,0.625,0.2322226951877412
0.35294117647058826,0.6666666666666666,0.23213398333147858
0.4019607843137255,0.6666666666666666,0.19199559253682955
0.4019607843137255,0.7083333333333334,0.19089266790598985
0.4117647058823529,0.7083333333333334,0.1747769511960336
0.4117647058823529,0.75,0.16739120889879366
0.4803921568627451,0.75,0.12475025188546965
0.4803921568627451,0.7916666666666666,0.12297537140509958
0.49019607843137253,0.7916666666666666,0.12167819889032133
0.49019607843137253,0.8333333333333334,0.11099440492686985
0.5588235294117647,0.8333333333333334,0.09842716521154853
0.5588235294117647,0.875,0.09394591214643364
0.5686274509803921,0.875,0.08852362348204693
0.5686274509803921,0.9583333333333334,0.08310940278918366
0.7843137254901961,0.9583333333333334,0.05162939301209932
0.7843137254901961,1.0,0.047919528389664415
1.0,1.0,0.024706310489366702
