FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.99275124
0.0,0.08333333333333333,0.97653323
0.0196078431372549,0.08333333333333333,0.95588493
0.0196078431372549,0.16666666666666666,0.9459422
0.049019607843137254,0.16666666666666666,0.89525336
0.049019607843137254,0.2916666666666667,0.865952
0.0784313725490196,0.2916666666666667,0.8366371
0.0784313725490196,0.3333333333333333,0.8316922
0.08823529411764706,0.3333333333333333,0.8207426
0.08823529411764706,0.375,0.8108308
0.14705882352941177,0.375,0.7318951
0.14705882352941177,0.4166666666666667,0.7221848
0.1568627450980392,0.4166666666666667,0.7177702
0.1568627450980392,0.5,0.6821475
0.21568627450980393,0.5,0.6189638
0.21568627450980393,0.5416666666666666,0.59767383
0.3627450980392157,0.5416666666666666,0.24567151
0.3627450980392157,0.5833333333333334,0.24058643
0.39215686274509803,0.5833333333333334,0.20410022
0.39215686274509803,0.6666666666666666,0.17552423
0.4215686274509804,0.6666666666666666,0.1467469
0.4215686274509804,0.7083333333333334,0.14345427
0.5098039215686274,0.7083333333333334,0.115876354
0.5098039215686274,0.7916666666666666,0.10816736
0.5882352941176471,0.7916666666666666,0.07803361
0.5882352941176471,0.8333333333333334,0.076786175
0.6176470588235294,0.8333333333333334,0.07559825
0.6176470588235294,0.875,0.07515315
0.6274509803921569,0.875,0.071334384
0.6274509803921569,0.9166666666666666,0.0713318
0.9019607843137255,0.9166666666666666,0.031693183
0.9019607843137255,1.0,0.030294457
1.0,1.0,0.01951475
