FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9814046989384659
0.0,0.125,0.9697559318151897
0.00980392156862745,0.125,0.9424466743202261
0.00980392156862745,0.20833333333333334,0.9246206888769545
0.029411764705882353,0.20833333333333334,0.8968117443837474
0.029411764705882353,0.25,0.8957865622411019
0.058823529411764705,0.25,0.85996733157404
0.058823529411764705,0.2916666666666667,0.8575003727063983
0.09803921568627451,0.2916666666666667,0.8343041410418295
0.09803921568627451,0.375,0.797389316788045
0.12745098039215685,0.375,0.7835526255600802
0.12745098039215685,0.4166666666666667,0.7835253914621716
0.13725490196078433,0.4166666666666667,0.7820182392129545
0.13725490196078433,0.4583333333333333,0.7784078424829354
0.17647058823529413,0.4583333333333333,0.7089171512026011
0.17647058823529413,0.5,0.7030369493911109
0.18627450980392157,0.5,0.6982553678495953
0.18627450980392157,0.5416666666666666,0.6982411018838375
0.3235294117647059,0.5416666666666666,0.2975872379705327
0.3235294117647059,0.5833333333333334,0.29447106124363803
0.3431372549019608,0.5833333333333334,0.27322945141588534
0.3431372549019608,0.625,0.2710098105988135
0.4215686274509804,0.625,0.2269792711779686
0.4215686274509804,0.7083333333333334,0.16250705534245696
0.43137254901960786,0.7083333333333334,0.15314171351785097
0.43137254901960786,0.75,0.14612456313041325
0.46078431372549017,0.75,0.11540148017029342
0.46078431372549017,0.7916666666666666,0.10767095410858338
0.5098039215686274,0.7916666666666666,0.0961611878767958
0.5098039215686274,0.875,0.09265349262195277
0.5588235294117647,0.875,0.08576153698121917
0.5588235294117647,0.9166666666666666,0.0843975747856405
0.6666666666666666,0.9166666666666666,0.05300218722120216
0.6666666666666666,0.9583333333333334,0.05035271256619424
0.6862745098039216,0.9583333333333334,0.04867117591939585
0.6862745098039216,1.0,0.04719381039383369
1.0,1.0,0.015661674135676817
