FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.9216034898135802
0.0,0.125,0.9127903076823327
0.00980392156862745,0.125,0.9059132670917834
0.00980392156862745,0.20833333333333334,0.8946645970887687
0.049019607843137254,0.20833333333333334,0.8073525714443228
0.049019607843137254,0.25,0.7887774428365011
0.0784313725490196,0.25,0.7744398484910637
0.0784313725490196,0.2916666666666667,0.774209583105501
0.08823529411764706,0.2916666666666667,0.7701381995715804
0.08823529411764706,0.375,0.7484604679848937
0.09803921568627451,0.375,0.7479175798979205
0.09803921568627451,0.4166666666666667,0.7471703192895512
0.12745098039215685,0.4166666666666667,0.7213581681267274
0.12745098039215685,0.4583333333333333,0.715194835111887
0.20588235294117646,0.4583333333333333,0.6266357730714043
0.20588235294117646,0.5,0.6134456615611134
0.23529411764705882,0.5,0.5839701029076659
0.23529411764705882,0.5416666666666666,0.5567190341071269
0.4117647058823529,0.5416666666666666,0.222664170848912
0.4117647058823529,0.5833333333333334,0.22155892029332644
0.4215686274509804,0.5833333333333334,0.2212560754182419
0.4215686274509804,0.625,0.20737347173914011
0.43137254901960786,0.625,0.1997880116783314
0.43137254901960786,0.6666666666666666,0.19830958707402785
0.47058823529411764,0.6666666666666666,0.18981416463687234
0.47058823529411764,0.75,0.17364326425157858
0.5294117647058824,0.75,0.1543433773419319
0.5294117647058824,0.7916666666666666,0.14866819310369797
0.5686274509803921,0.7916666666666666,0.14114442705561545
0.5686274509803921,0.8333333333333334,0.14057832349012467
0.5784313725490197,0.8333333333333334,0.1398687945915531
0.5784313725490197,0.875,0.1382061188000645
0.6764705882352942,0.875,0.1174387752877537
0.6764705882352942,0.9166666666666666,0.117210422819409
0.6862745098039216,0.9166666666666666,0.11598409933081447
0.6862745098039216,0.9583333333333334,0.11527710118936788
0.7058823529411765,0.9583333333333334,0.11296865279941817
0.7058823529411765,1.0,0.1108309310317851
1.0,1.0,0.08285256502507225
